A4 09 50   40 A9 28 05 A9 ...           ,in
A4 09 50   60 05 A8 16 05 ...           ,in
A4 09 50   20 D6 04 AC CA ...           ,in
A4 09 50   40 A6 CD 04 A6 ...           ,in
A4 09 50   60 AA C2 04 AB ...           ,in
A4 09 50   20 05 A8 56 05 ...           ,in
A4 09 50   40 32 05 A3 0E ...           ,in
A4 09 50   60 9E DE 04 A0 ...           ,in
A4 09 50   20 05 A5 61 05 ...           ,in
A4 09 50   40 3B 05 AE 3D ...           ,in
A4 09 50   60 AF 39 05 AF ...           ,in
A4 09 50   20 05 AF FD 04 ...           ,in
A4 09 50   40 DE 04 B0 CC ...           ,in
A4 09 50   60 AF 94 04 AF ...           ,in
A4 09 50   20 04 AD B4 04 ...           ,in
A4 09 50   40 C0 04 AA F0 ...           ,in
A4 09 50   60 AE 95 03 AD ...           ,in
A4 09 50   20 05 AD 7C 05 ...           ,in
A4 09 50   40 3D 05 AE 02 ...           ,in
A4 09 50   60 AC C8 04 A9 ...           ,in
A4 09 50   20 A5 F9 04 A4 ...           ,in
A4 09 50   40 05 A7 60 05 ...           ,in
A4 09 50   60 A7 04 AB DB ...           ,in
A4 09 50   20 A0 CF 03 9D ...           ,in
A4 09 50   40 05 9F 4F 05 ...           ,in
A4 09 50   60 73 05 A9 6B ...           ,in
A4 09 50   20 AD 2F 05 AF ...           ,in
A4 09 50   40 05 B0 B7 05 ...           ,in
A4 09 50   60 4D 05 AE 28 ...           ,in
A4 09 50   20 AE 1F 05 AE ...           ,in
A4 09 50   40 05 AF 0B 05 ...           ,in
A4 09 50   60 0F 05 AE 13 ...           ,in
A4 09 50   20 AE 57 05 AD ...           ,in
A4 09 50   40 05 AC 13 05 ...           ,in
A4 09 50   60 DB 04 AD D8 ...           ,in
A4 09 50   20 AB EE 04 AB ...           ,in
A4 09 50   40 AA EA 04 AA ...           ,in
A4 09 50   60 04 AA F7 04 ...           ,in
A4 09 50   20 2D 05 AC 2C ...           ,in
A4 09 50   40 AD 0B 05 AC ...           ,in
A4 09 50   60 05 AD 17 05 ...           ,in
A4 09 50   20 2A 05 B0 34 ...           ,in
A4 09 50   40 B1 08 05 B3 ...           ,in
A4 09 50   60 04 B4 C7 04 ...           ,in
A4 09 50   20 31 05 B2 3C ...           ,in
A4 09 50   40 B1 FE 04 B0 ...           ,in
A4 09 50   60 04 AE CC 04 ...           ,in
A4 09 50   20 BB 04 AD C2 ...           ,in
A4 09 50   40 AB D0 04 AA ...           ,in
A4 09 50   60 04 AB 3A 05 ...           ,in
A4 09 50   20 6D 05 AD 7B ...           ,in
A4 09 50   C0 B0 EB 05 B1 ...           ,in
A4 09 4E   00 B0 EB 05 B1 ...           ,in
A4 09 50   00 43 3B 02 03 ...           ,in
A4 09 50   20 44 89 01 01 ...           ,in
A4 09 50   40 B2 01 06 B3 ...           ,in
A4 09 50   60 05 B7 B3 05 ...           ,in
A4 09 50   20 67 05 B6 5E ...           ,in
A4 09 50   40 B6 60 05 B6 ...           ,in
A4 09 50   60 05 B6 22 05 ...           ,in
A4 09 50   20 04 05 B2 01 ...           ,in
A4 09 50   40 B1 10 05 B1 ...           ,in
A4 09 50   60 04 B3 DC 04 ...           ,in
A4 09 50   20 D8 04 B6 CE ...           ,in
A4 09 50   40 B5 D6 04 B5 ...           ,in
A4 09 50   60 04 B3 F1 04 ...           ,in
A4 09 50   20 F0 04 B0 EF ...           ,in
A4 09 50   40 B0 F0 04 B0 ...           ,in
A4 09 50   60 04 AC E1 04 ...           ,in
A4 09 50   20 29 05 AF 17 ...           ,in
A4 09 50   40 B1 42 05 B3 ...           ,in
A4 09 50   60 B5 95 05 B6 ...           ,in
A4 09 50   20 05 B5 20 05 ...           ,in
A4 09 50   40 FF 04 B3 F5 ...           ,in
A4 09 50   60 B1 C7 04 B0 ...           ,in
A4 09 50   20 04 AF EA 04 ...           ,in
A4 09 50   40 5B 05 B1 4F ...           ,in
A4 09 50   60 B1 12 05 B1 ...           ,in
A4 09 50   20 05 B2 F1 04 ...           ,in
A4 09 50   40 DB 04 B0 F0 ...           ,in
A4 09 50   60 B2 F8 04 B3 ...           ,in
A4 09 50   20 04 B1 DE 04 ...           ,in
A4 09 50   40 DE 04 AD DC ...           ,in
A4 09 50   60 AF 21 05 B0 ...           ,in
A4 09 50   20 05 B2 F5 04 ...           ,in
A4 09 50   40 DB 04 B2 D8 ...           ,in
